pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2023096257,1,1,1,8600,1505,1619,,160223,,,,,20,2024,1,39,4,1,7,3,1,3,0,1,0,1,3,1,9,9,9,9,9,4,3,9,5,51,512,0,14,1,184053,663193
2024000009,1,1,2,3000,5403,,41,,,,,,61,2024,10,55,4,1,1,3,1,3,0,1,0,3,3,1,1,1,9,9,6,8,0,9,1,11,111,0,12,1,221817,628497
2024000034,1,1,2,7900,148,,2,,,,,,51,2024,3,53,4,1,2,3,15,1,0,1,1,0,3,1,1,1,9,9,9,0,0,9,4,42,422,0,13,3,190310,668268
2024000069,1,1,4,0,,,,,2411,0,10,,34,2024,12,51,4,1,6,2,11,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,6,62,622,99,99,3,168970,580206
2024000076,1,1,4,0,,,,,2,0,473,,51,2024,9,9,4,5,7,3,3,0,2,5,1,3,5,3,1,1,9,9,9,0,0,9,4,41,411,99,99,1,188598,695708
2024000077,1,1,1,6200,311,508,,8000033,,,,,20,2024,1,93,4,5,1,3,2,0,3,1,1,3,3,3,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176340,656873
2024000094,1,1,2,6700,134,,9999,,,,,,12,2024,10,77,4,5,3,3,11,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,2,22,221,0,16,3,249293,745242
2024000096,1,1,1,5000,3004,2199,,130743,,,,,20,2024,11,65,4,1,7,2,4,3,0,1,1,2,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,176793,660157
2024000097,1,1,3,0,,,,,4,781,2185,8013,12,2024,10,64,4,1,3,3,2,0,3,3,1,5,3,1,1,1,9,9,9,0,0,9,3,31,311,99,99,1,207561,746985
2024000100,1,1,1,3000,3003,3001,,26410713,,,,,61,2024,9,33,4,1,6,3,1,3,0,6,1,3,5,11,9,1,9,9,9,3,3,1,1,11,111,0,12,1,222619,638362
2024000101,1,1,1,7200,240,258,,17810184,,,,,52,2024,7,32,4,1,2,3,1,0,3,1,1,3,3,1,1,1,9,9,9,3,3,1,4,44,442,0,15,1,180184,648399
2024000104,1,1,4,0,,,,,4,0,1360,,51,2024,12,61,4,1,4,2,17,0,3,4,1,2,3,1,1,1,9,9,9,0,0,9,4,41,411,99,99,1,189215,681807
2024000130,1,1,1,7900,229,326,,8980032,,,,,51,2024,5,25,2,5,2,3,2,3,0,1,1,4,3,6,1,1,9,9,9,0,0,9,4,42,422,0,13,1,189686,664997
2024000141,1,1,2,2560,126,,2,,,,,,34,2024,8,91,4,5,4,2,13,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,6,62,623,0,16,1,220466,573595
2024000160,1,1,3,0,,,,,4,57,1466,345,51,2024,5,52,4,1,1,3,2,0,3,4,1,5,5,1,1,1,9,9,9,0,0,9,4,41,411,99,99,1,191190,692220
2024000172,1,1,2,509,9000,,1,,,,,,14,2024,7,78,4,1,4,2,1,3,0,1,1,0,5,1,1,9,9,9,9,3,3,9,2,23,237,99,26,2,232358,739062
2024000210,1,1,2,3000,1121,,9999,,,,,,61,2024,1,62,4,1,3,3,9,1,0,1,1,2,3,1,1,1,9,9,9,0,0,9,1,11,111,0,12,3,218016,630940
2024000218,1,1,1,2630,147,125,,7300004,,,,,38,2024,6,49,4,1,6,3,2,0,3,1,1,3,3,1,1,1,9,9,9,0,0,9,6,61,612,0,15,1,179144,613123
